Päivämäärä,"Käyttäjien osto- ja muu toiminta (Kaikki käyttäjät, Kaikki tapahtumat, Aikaväliä kohti, Päivittäin): Kaikki Android-versiot",Muistiinpanot
9. heinäk. 2019,0,Julkaisun käyttöönotto: 1.1 otettiin käyttöön käyttöasteella 100%.
10. heinäk. 2019,5,Julkaisun käyttöönotto: 1.3 otettiin käyttöön käyttöasteella 100%.
11. heinäk. 2019,0,
12. heinäk. 2019,27,Julkaisun käyttöönotto: 1.4 otettiin käyttöön käyttöasteella 100%.
13. heinäk. 2019,4,
14. heinäk. 2019,1,Julkaisun käyttöönotto: 1.5 otettiin käyttöön käyttöasteella 100%.
15. heinäk. 2019,7,Julkaisun käyttöönotto: 1.6 otettiin käyttöön käyttöasteella 100%.
16. heinäk. 2019,6,
17. heinäk. 2019,4,Julkaisun käyttöönotto: 1.7 otettiin käyttöön käyttöasteella 100%.
18. heinäk. 2019,9,Julkaisun käyttöönotto: 1.8 otettiin käyttöön käyttöasteella 100%.
19. heinäk. 2019,21,
20. heinäk. 2019,7,Julkaisun käyttöönotto: 1.9 otettiin käyttöön käyttöasteella 100%.
21. heinäk. 2019,12,Julkaisun käyttöönotto: 2.0 otettiin käyttöön käyttöasteella 100%.
22. heinäk. 2019,10,Julkaisun käyttöönotto: 2.1 otettiin käyttöön käyttöasteella 100%.
23. heinäk. 2019,10,
24. heinäk. 2019,5,
25. heinäk. 2019,4,Julkaisun käyttöönotto: 2.2 otettiin käyttöön käyttöasteella 100%.
26. heinäk. 2019,1,
27. heinäk. 2019,1,Julkaisun käyttöönotto: 2.3 otettiin käyttöön käyttöasteella 100%.
28. heinäk. 2019,6,Julkaisun käyttöönotto: 2.4 otettiin käyttöön käyttöasteella 100%.
29. heinäk. 2019,5,Muuttujaa koskeva muutos: Käyttäjään ja laitteeseen perustuvat hankinnan ja menetyksen mittarit päivitettiin tarkemmiksi.
30. heinäk. 2019,14,
31. heinäk. 2019,8,
1. elok. 2019,8,Julkaisun käyttöönotto: 2.5 otettiin käyttöön käyttöasteella 100%. Julkaisun käyttöönotto: 2.6 otettiin käyttöön käyttöasteella 100%.
2. elok. 2019,6,
3. elok. 2019,9,
4. elok. 2019,3,Julkaisun käyttöönotto: 2.7 otettiin käyttöön käyttöasteella 100%.
5. elok. 2019,20,
6. elok. 2019,35,
7. elok. 2019,12,
8. elok. 2019,7,
9. elok. 2019,10,Julkaisun käyttöönotto: 2.8 otettiin käyttöön käyttöasteella 100%.
10. elok. 2019,10,
11. elok. 2019,22,Julkaisun käyttöönotto: 2.9 otettiin käyttöön käyttöasteella 100%.
12. elok. 2019,3,
13. elok. 2019,11,Julkaisun käyttöönotto: 3.0 otettiin käyttöön käyttöasteella 100%.
14. elok. 2019,6,Julkaisun käyttöönotto: 3.1 otettiin käyttöön käyttöasteella 100%.
15. elok. 2019,10,
16. elok. 2019,10,
17. elok. 2019,8,
18. elok. 2019,12,
19. elok. 2019,5,
20. elok. 2019,2,
21. elok. 2019,2,
22. elok. 2019,7,
23. elok. 2019,5,
24. elok. 2019,9,Julkaisun käyttöönotto: 3.2 otettiin käyttöön käyttöasteella 100%. Julkaisun käyttöönotto: 3.3 otettiin käyttöön käyttöasteella 100%.
25. elok. 2019,15,Julkaisun käyttöönotto: 3.4 otettiin käyttöön käyttöasteella 100%.
26. elok. 2019,8,
27. elok. 2019,7,
28. elok. 2019,4,
29. elok. 2019,6,
30. elok. 2019,6,
31. elok. 2019,31,
1. syysk. 2019,13,
2. syysk. 2019,13,
3. syysk. 2019,5,
4. syysk. 2019,9,
5. syysk. 2019,1,
6. syysk. 2019,4,
7. syysk. 2019,8,
8. syysk. 2019,2,
9. syysk. 2019,6,
10. syysk. 2019,4,
11. syysk. 2019,4,
12. syysk. 2019,5,
13. syysk. 2019,3,
14. syysk. 2019,9,
15. syysk. 2019,3,
16. syysk. 2019,4,
17. syysk. 2019,8,
18. syysk. 2019,2,
19. syysk. 2019,3,
20. syysk. 2019,2,
21. syysk. 2019,3,
22. syysk. 2019,4,
23. syysk. 2019,6,
24. syysk. 2019,7,Julkaisun käyttöönotto: 3.5 otettiin käyttöön käyttöasteella 100%.
25. syysk. 2019,5,Julkaisun käyttöönotto: 3.6 otettiin käyttöön käyttöasteella 100%.
26. syysk. 2019,12,
27. syysk. 2019,9,
28. syysk. 2019,12,
29. syysk. 2019,5,
30. syysk. 2019,5,Julkaisun käyttöönotto: 3.7 otettiin käyttöön käyttöasteella 100%.
1. lokak. 2019,1,Julkaisun käyttöönotto: 3.8 otettiin käyttöön käyttöasteella 100%.
2. lokak. 2019,2,
3. lokak. 2019,0,
4. lokak. 2019,4,
5. lokak. 2019,7,
6. lokak. 2019,4,
7. lokak. 2019,1,
8. lokak. 2019,3,
9. lokak. 2019,2,
10. lokak. 2019,4,
11. lokak. 2019,3,
12. lokak. 2019,3,
13. lokak. 2019,1,
14. lokak. 2019,2,
15. lokak. 2019,3,
16. lokak. 2019,7,
17. lokak. 2019,2,
18. lokak. 2019,3,
19. lokak. 2019,6,
20. lokak. 2019,3,
21. lokak. 2019,0,
22. lokak. 2019,3,
23. lokak. 2019,1,
24. lokak. 2019,2,
25. lokak. 2019,5,
26. lokak. 2019,1,
27. lokak. 2019,5,
28. lokak. 2019,3,
29. lokak. 2019,0,
30. lokak. 2019,0,
31. lokak. 2019,1,
1. marrask. 2019,4,
2. marrask. 2019,1,
3. marrask. 2019,5,
4. marrask. 2019,2,
5. marrask. 2019,0,
6. marrask. 2019,2,
7. marrask. 2019,0,
8. marrask. 2019,0,
9. marrask. 2019,2,
10. marrask. 2019,3,Julkaisun käyttöönotto: 3.9 otettiin käyttöön käyttöasteella 100%.
11. marrask. 2019,1,
12. marrask. 2019,3,
13. marrask. 2019,0,
14. marrask. 2019,0,
15. marrask. 2019,0,
16. marrask. 2019,1,Julkaisun käyttöönotto: 4.1 otettiin käyttöön käyttöasteella 100%.
17. marrask. 2019,5,
18. marrask. 2019,1,Julkaisun käyttöönotto: 4.2 otettiin käyttöön käyttöasteella 100%.
19. marrask. 2019,0,
20. marrask. 2019,1,
21. marrask. 2019,2,
22. marrask. 2019,0,
23. marrask. 2019,1,
24. marrask. 2019,3,
25. marrask. 2019,3,
26. marrask. 2019,1,
27. marrask. 2019,1,
28. marrask. 2019,0,
29. marrask. 2019,1,
30. marrask. 2019,2,
1. jouluk. 2019,0,
2. jouluk. 2019,0,
3. jouluk. 2019,0,
4. jouluk. 2019,1,Julkaisun käyttöönotto: 4.3 otettiin käyttöön käyttöasteella 100%.
5. jouluk. 2019,3,
6. jouluk. 2019,2,
7. jouluk. 2019,2,Julkaisun käyttöönotto: 4.4 otettiin käyttöön käyttöasteella 100%.
8. jouluk. 2019,2,Julkaisun käyttöönotto: 4.5 otettiin käyttöön käyttöasteella 100%. Julkaisun käyttöönotto: 4.6 otettiin käyttöön käyttöasteella 100%.
9. jouluk. 2019,1,
10. jouluk. 2019,0,
11. jouluk. 2019,1,Julkaisun käyttöönotto: 4.7 otettiin käyttöön käyttöasteella 100%.
12. jouluk. 2019,0,
13. jouluk. 2019,5,
14. jouluk. 2019,1,Julkaisun käyttöönotto: 4.8 otettiin käyttöön käyttöasteella 100%.
15. jouluk. 2019,1,
16. jouluk. 2019,2,
17. jouluk. 2019,1,Julkaisun käyttöönotto: 4.9 otettiin käyttöön käyttöasteella 100%.
18. jouluk. 2019,1,
19. jouluk. 2019,0,
20. jouluk. 2019,1,
21. jouluk. 2019,0,
22. jouluk. 2019,0,
23. jouluk. 2019,0,
24. jouluk. 2019,0,
25. jouluk. 2019,0,
26. jouluk. 2019,3,
27. jouluk. 2019,0,
28. jouluk. 2019,1,
29. jouluk. 2019,0,
30. jouluk. 2019,0,Julkaisun käyttöönotto: 5.0 otettiin käyttöön käyttöasteella 100%.
31. jouluk. 2019,1,
1. tammik. 2020,0,
2. tammik. 2020,1,
3. tammik. 2020,1,Julkaisun käyttöönotto: 5.2 otettiin käyttöön käyttöasteella 100%.
4. tammik. 2020,1,
5. tammik. 2020,0,
6. tammik. 2020,5,
7. tammik. 2020,0,
8. tammik. 2020,0,
9. tammik. 2020,3,
10. tammik. 2020,0,
11. tammik. 2020,2,
12. tammik. 2020,0,
13. tammik. 2020,3,
14. tammik. 2020,3,
15. tammik. 2020,4,
16. tammik. 2020,1,
17. tammik. 2020,2,Julkaisun käyttöönotto: 5.3 otettiin käyttöön käyttöasteella 100%.
18. tammik. 2020,1,
19. tammik. 2020,4,Julkaisun käyttöönotto: 5.4 otettiin käyttöön käyttöasteella 100%.
20. tammik. 2020,2,
21. tammik. 2020,3,
22. tammik. 2020,1,
23. tammik. 2020,0,Julkaisun käyttöönotto: 5.5 otettiin käyttöön käyttöasteella 100%.
24. tammik. 2020,2,
25. tammik. 2020,7,
26. tammik. 2020,2,
27. tammik. 2020,0,
28. tammik. 2020,3,
29. tammik. 2020,2,
30. tammik. 2020,1,Julkaisun käyttöönotto: 5.6 otettiin käyttöön käyttöasteella 100%.
31. tammik. 2020,2,
1. helmik. 2020,0,
2. helmik. 2020,4,
3. helmik. 2020,2,
4. helmik. 2020,2,
5. helmik. 2020,2,
6. helmik. 2020,0,
7. helmik. 2020,1,
8. helmik. 2020,0,
9. helmik. 2020,8,
10. helmik. 2020,4,
11. helmik. 2020,3,
12. helmik. 2020,1,
13. helmik. 2020,1,
14. helmik. 2020,0,
15. helmik. 2020,0,
16. helmik. 2020,3,
17. helmik. 2020,3,
18. helmik. 2020,2,
19. helmik. 2020,2,
20. helmik. 2020,5,
21. helmik. 2020,3,
22. helmik. 2020,1,
23. helmik. 2020,5,
24. helmik. 2020,2,
25. helmik. 2020,5,
26. helmik. 2020,2,
27. helmik. 2020,5,
28. helmik. 2020,2,
29. helmik. 2020,1,Julkaisun käyttöönotto: 5.7 otettiin käyttöön käyttöasteella 100%.
1. maalisk. 2020,2,
2. maalisk. 2020,4,
3. maalisk. 2020,3,
4. maalisk. 2020,2,
5. maalisk. 2020,0,
6. maalisk. 2020,3,
7. maalisk. 2020,4,
8. maalisk. 2020,6,
9. maalisk. 2020,3,
10. maalisk. 2020,4,
11. maalisk. 2020,0,
12. maalisk. 2020,3,
13. maalisk. 2020,0,
14. maalisk. 2020,3,
15. maalisk. 2020,5,
16. maalisk. 2020,6,
17. maalisk. 2020,4,
18. maalisk. 2020,1,
19. maalisk. 2020,8,
20. maalisk. 2020,5,
21. maalisk. 2020,4,
22. maalisk. 2020,11,
23. maalisk. 2020,8,
24. maalisk. 2020,11,
25. maalisk. 2020,6,
26. maalisk. 2020,3,
27. maalisk. 2020,3,
28. maalisk. 2020,11,
29. maalisk. 2020,7,
30. maalisk. 2020,3,
31. maalisk. 2020,5,
1. huhtik. 2020,12,
2. huhtik. 2020,19,
3. huhtik. 2020,9,
4. huhtik. 2020,5,
5. huhtik. 2020,13,
6. huhtik. 2020,10,
7. huhtik. 2020,13,
8. huhtik. 2020,14,
9. huhtik. 2020,10,Julkaisun käyttöönotto: 5.9 otettiin käyttöön käyttöasteella 100%.
10. huhtik. 2020,12,
11. huhtik. 2020,31,
12. huhtik. 2020,13,
13. huhtik. 2020,23,
14. huhtik. 2020,11,
15. huhtik. 2020,9,
16. huhtik. 2020,7,
17. huhtik. 2020,15,
18. huhtik. 2020,10,
19. huhtik. 2020,15,
20. huhtik. 2020,13,
21. huhtik. 2020,14,
22. huhtik. 2020,8,
23. huhtik. 2020,10,
24. huhtik. 2020,12,
25. huhtik. 2020,7,
26. huhtik. 2020,6,
27. huhtik. 2020,16,
28. huhtik. 2020,8,
29. huhtik. 2020,8,
30. huhtik. 2020,22,Julkaisun käyttöönotto: 6.0 otettiin käyttöön käyttöasteella 100%.
1. toukok. 2020,33,
2. toukok. 2020,25,
3. toukok. 2020,16,
4. toukok. 2020,23,
5. toukok. 2020,14,
6. toukok. 2020,10,
7. toukok. 2020,12,
8. toukok. 2020,20,Julkaisun käyttöönotto: 6.1 otettiin käyttöön käyttöasteella 100%.
9. toukok. 2020,47,
10. toukok. 2020,33,
11. toukok. 2020,22,
12. toukok. 2020,15,
13. toukok. 2020,18,
14. toukok. 2020,7,
15. toukok. 2020,8,
16. toukok. 2020,12,
17. toukok. 2020,10,
18. toukok. 2020,10,
19. toukok. 2020,9,
20. toukok. 2020,0,
21. toukok. 2020,8,
22. toukok. 2020,11,
23. toukok. 2020,11,
24. toukok. 2020,14,
25. toukok. 2020,12,
26. toukok. 2020,8,
27. toukok. 2020,5,
28. toukok. 2020,8,
29. toukok. 2020,18,
30. toukok. 2020,12,
31. toukok. 2020,12,
1. kesäk. 2020,8,
2. kesäk. 2020,14,
3. kesäk. 2020,7,
4. kesäk. 2020,5,
5. kesäk. 2020,8,
6. kesäk. 2020,9,
7. kesäk. 2020,8,
8. kesäk. 2020,10,
9. kesäk. 2020,16,
10. kesäk. 2020,20,
11. kesäk. 2020,17,
12. kesäk. 2020,14,
13. kesäk. 2020,15,
14. kesäk. 2020,13,
15. kesäk. 2020,20,
16. kesäk. 2020,16,
17. kesäk. 2020,11,
18. kesäk. 2020,9,
19. kesäk. 2020,12,
20. kesäk. 2020,7,
21. kesäk. 2020,18,
22. kesäk. 2020,14,
23. kesäk. 2020,8,
24. kesäk. 2020,11,
25. kesäk. 2020,15,
26. kesäk. 2020,7,
27. kesäk. 2020,5,
28. kesäk. 2020,9,
29. kesäk. 2020,12,
30. kesäk. 2020,5,
1. heinäk. 2020,3,
2. heinäk. 2020,4,
3. heinäk. 2020,8,
4. heinäk. 2020,3,
5. heinäk. 2020,7,
6. heinäk. 2020,4,
7. heinäk. 2020,3,
8. heinäk. 2020,8,
9. heinäk. 2020,3,
10. heinäk. 2020,4,
11. heinäk. 2020,2,
12. heinäk. 2020,10,
13. heinäk. 2020,7,
14. heinäk. 2020,6,
15. heinäk. 2020,14,
16. heinäk. 2020,5,
17. heinäk. 2020,8,
18. heinäk. 2020,10,
19. heinäk. 2020,4,
20. heinäk. 2020,4,
21. heinäk. 2020,2,
22. heinäk. 2020,5,
23. heinäk. 2020,9,
24. heinäk. 2020,3,
25. heinäk. 2020,8,
26. heinäk. 2020,9,
27. heinäk. 2020,9,
28. heinäk. 2020,7,
29. heinäk. 2020,7,
30. heinäk. 2020,8,
31. heinäk. 2020,5,
1. elok. 2020,7,
2. elok. 2020,10,
3. elok. 2020,9,
4. elok. 2020,4,
5. elok. 2020,7,
6. elok. 2020,4,
7. elok. 2020,11,
8. elok. 2020,6,
9. elok. 2020,9,
10. elok. 2020,8,
11. elok. 2020,8,
12. elok. 2020,8,
13. elok. 2020,3,Julkaisun käyttöönotto: 6.2 otettiin käyttöön käyttöasteella 100%.
14. elok. 2020,8,
15. elok. 2020,3,
16. elok. 2020,10,
17. elok. 2020,5,
18. elok. 2020,7,
19. elok. 2020,8,
20. elok. 2020,9,
21. elok. 2020,2,
22. elok. 2020,6,
23. elok. 2020,10,
24. elok. 2020,2,
25. elok. 2020,5,
26. elok. 2020,6,
27. elok. 2020,3,
28. elok. 2020,5,
29. elok. 2020,4,
30. elok. 2020,3,
31. elok. 2020,5,
1. syysk. 2020,2,
2. syysk. 2020,4,
3. syysk. 2020,3,
4. syysk. 2020,2,
5. syysk. 2020,5,
6. syysk. 2020,7,
7. syysk. 2020,3,
8. syysk. 2020,3,
9. syysk. 2020,1,
10. syysk. 2020,6,
11. syysk. 2020,3,
12. syysk. 2020,3,
13. syysk. 2020,10,
14. syysk. 2020,7,
15. syysk. 2020,4,
16. syysk. 2020,2,
17. syysk. 2020,3,
18. syysk. 2020,1,
19. syysk. 2020,6,
20. syysk. 2020,2,
21. syysk. 2020,4,
22. syysk. 2020,0,
23. syysk. 2020,3,
24. syysk. 2020,3,
25. syysk. 2020,2,
26. syysk. 2020,6,
27. syysk. 2020,8,
28. syysk. 2020,2,
29. syysk. 2020,1,
30. syysk. 2020,7,
1. lokak. 2020,4,
2. lokak. 2020,3,
3. lokak. 2020,7,
4. lokak. 2020,9,
5. lokak. 2020,3,
6. lokak. 2020,1,Muuttujaa koskeva muutos: Datan täsmäytys tänä päivänä voi johtaa raportoitujen poistojen kertaluontoiseen lisäyspiikkiin.
7. lokak. 2020,8,
8. lokak. 2020,4,
9. lokak. 2020,3,
10. lokak. 2020,4,
11. lokak. 2020,2,
12. lokak. 2020,13,
13. lokak. 2020,4,
14. lokak. 2020,7,
15. lokak. 2020,3,
16. lokak. 2020,6,
17. lokak. 2020,5,
18. lokak. 2020,4,
19. lokak. 2020,3,
20. lokak. 2020,2,
21. lokak. 2020,4,
22. lokak. 2020,0,
23. lokak. 2020,4,
24. lokak. 2020,4,Muuttujaa koskeva muutos: An issue with data may result in over-reporting installs for this period. This did not affect your actual install performance.
25. lokak. 2020,3,
26. lokak. 2020,2,
27. lokak. 2020,2,Muuttujaa koskeva muutos: An issue with data may result in over-reporting installs for this period. This did not affect your actual install performance.
28. lokak. 2020,3,
29. lokak. 2020,2,
30. lokak. 2020,0,
31. lokak. 2020,2,
1. marrask. 2020,3,
2. marrask. 2020,1,
3. marrask. 2020,3,
4. marrask. 2020,5,
5. marrask. 2020,4,
6. marrask. 2020,2,
7. marrask. 2020,7,
8. marrask. 2020,3,
9. marrask. 2020,2,
10. marrask. 2020,0,
11. marrask. 2020,2,
12. marrask. 2020,1,
13. marrask. 2020,6,Muuttujaa koskeva muutos: An issue with data may result in over-reporting installs for this period. This did not affect your actual install performance.
14. marrask. 2020,1,
15. marrask. 2020,2,
16. marrask. 2020,2,
17. marrask. 2020,2,
18. marrask. 2020,1,
19. marrask. 2020,0,
20. marrask. 2020,1,
21. marrask. 2020,3,
22. marrask. 2020,1,
23. marrask. 2020,4,
24. marrask. 2020,3,
25. marrask. 2020,2,
26. marrask. 2020,1,
27. marrask. 2020,0,
28. marrask. 2020,2,
29. marrask. 2020,4,
30. marrask. 2020,4,
1. jouluk. 2020,2,
2. jouluk. 2020,3,
3. jouluk. 2020,0,
4. jouluk. 2020,1,
5. jouluk. 2020,3,
6. jouluk. 2020,3,
7. jouluk. 2020,0,
8. jouluk. 2020,3,
9. jouluk. 2020,1,
10. jouluk. 2020,2,
11. jouluk. 2020,2,
12. jouluk. 2020,1,
13. jouluk. 2020,2,
14. jouluk. 2020,1,
15. jouluk. 2020,2,
16. jouluk. 2020,3,
17. jouluk. 2020,0,
18. jouluk. 2020,1,
19. jouluk. 2020,0,
20. jouluk. 2020,5,
